,,,,,
,WAS 2017 Bike MS: Cycle the Silver Valley,09/16/2017,"Kellogg, ID",$250.00,2
,WAS 2017 Bike MS: Hope to a Cure,05/20/2017,,"$11,336.25",25
Fidelity Investments Bike Team,,,,"$133,058.08",180
,2016 BIKE MS: PGA TOUR CYCLE TO THE SHORE  *START/END DATE FIELDS CHANGED FOR REPORTING*,09/29/2016,TPC Sawgrass,$500.00,13
,Bike MS:  Cruisin' the Crossroads 2013,09/07/2013,,"$1,835.00",4
,INI 2017 Bike MS: Cruisin' the Crossroads,09/09/2017,"Lebanon, IN",$0.00,1
,MAM 2017 Bike MS: Ride the Rhode,06/10/2017,"Kingston, RI","$3,730.00",4
,2016 Ride the Rhode,06/18/2016,Rhode Island,"$1,610.00",2
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,4
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,"$27,060.33",31
,OHG 2017 Bike MS: Oxford,08/05/2017,,"$26,308.33",27
,OHG 2017 Bike MS: Oxford,08/05/2017,,$0.00,4
,OHG 2013 BIKE MS: VENTURE THE VALLEY 2013,08/24/2013,Camp Kern Lebanon Ohio,"$38,548.42",46
,OHG 2016 BIKE MS: Oxford 2016,08/06/2016,Oxford,$0.00,4
,UTU 2017 Bike MS: Harmons Best Dam Bike Ride,06/24/2017,Logan,"$33,466.00",40
Ford Bike Team,,,,"$20,442.30",32
,KYW 2017 Bike MS: Louisville,06/24/2017,,"$2,200.00",2
,"2016 Bike MS: Bikes, Bourbon & Barbeque",06/25/2016,,"$2,185.00",3
,KYW 2017 Bike MS: Louisville,06/24/2017,,$670.00,4
,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,07/15/2017,,"$3,611.00",9
,MIG 2017 Bike MS: Great Lakes Bavarian Breakaway,09/23/2017,Harvey Kern Pavilion,"$10,041.30",8
,MIG 2017 Bike MS: Great Lakes Fall Breakaway,09/09/2017,"Brighton, MI",$250.00,3
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,$885.00,1
,OHG 2016 BIKE MS: Oxford 2016,08/06/2016,Oxford,$600.00,2
Gap Inc.,,,,"$33,435.01",20
,CAN 2018 Bike MS: Waves to Wine,09/22/2018,SOMO Village,$147.00,
,CAN 2017 Bike MS: Waves to Wine,09/23/2017,,"$19,305.01",11
,2013 GREEN MOUNTAIN GETAWAY,08/03/2013,"Burlington, Vt","$13,983.00",7
,NCT 2017 Bike MS: Breakaway to the Beach,10/07/2017,"Sunset Beach, NC",$0.00,1
,NCT 2016 Bike MS: Breakaway to the Beach,10/08/2016,"Sunset Beach, NC",$0.00,1
Gears to a Cure Bike Team,,,,"$1,845.00",5
,INI 2017 Bike MS: Cruisin' the Crossroads,09/09/2017,"Lebanon, IN","$1,845.00",5
Geico,,,,"$2,769.00",6
,MAM 2017 Bike MS: Ride the Vineyard,05/06/2017,,"$1,884.00",4
,TNS 2017 Bike MS: Jack and Back,10/07/2017,Tullahoma,$885.00,2
Giant / Martin's Bike Team,,,,"$66,719.30",30
,PAC Bike MS 2013 One Day,07/13/2013,Gettysburg,"$37,813.50",25
,PAX 2017 Bike MS: Mason Dixon Challenge,10/14/2017,Gettysburg,"$28,905.80",5
GM Bike Team,,,,"$52,982.27",66
,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,07/15/2017,,"$4,896.00",7
,MIG 2018 Bike MS: Great Lakes Bavarian Breakaway,09/29/2018,Harvey Kern Pavilion,$25.00,
,MIG 2017 Bike MS: Great Lakes Bavarian Breakaway,09/23/2017,Harvey Kern Pavilion,"$8,215.00",13
,2013 Bavarian Bike MS,09/28/2013,Bavarian Bike MS,"$14,024.93",20
,2013 West Michigan Bike MS,06/08/2013,West Michigan Bike MS,"$21,223.34",15
,2016 Great Lakes Fall Breakaway,09/10/2016,Fall Breakaway,$355.00,3
,OHA 2017 Bike MS: Bike to the Bay,06/24/2017,Perrysburg,"$4,243.00",8
Intel,,,,"$18,390.00",23
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$2,055.00",2
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,"$7,750.00",5
,"New Mexico, Pojoaque - Bike MS: New Mexico Pedal los Pueblos 2013",08/24/2013,Pojoaque,"$8,585.00",16
JP Morgan Chase Bike Team,,,,"$98,849.55",119
,FLC 2017 Bike MS: Mid Florida,05/06/2017,,$0.00,1
,FLN 2017 Bike MS: PGA TOUR Cycle to the Shore,10/14/2017,TPC Sawgrass,"$8,230.00",16
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL",$685.00,2
,2016 Bike MS: Tour de Farms,06/25/2016,,$610.00,2
,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",05/18/2013,MON,"$3,735.55",6
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$49,845.00",62
,2012 Bike MS New York City,10/21/2012,,"$8,660.00",
,OHG 2016 BIKE MS: Oxford 2016,08/06/2016,Oxford,$0.00,1
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$26,689.00",26
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,$395.00,3
Keller Williams,,,,"$29,264.04",35
,NCT 2013 Bike MS New Bern,09/07/2013,New Bern,$45.00,1
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$50.00,1
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$23,149.84",17
,TXH 2016 Bike MS: Pojoaque,08/27/2016,"Pojoaque, New Mexico","$6,019.20",16
KPMG Bike Team,,,,"$220,467.54",247
,Waves to Wine 2013,09/21/2013,San Francisco,$65.00,2
,CTN 2017 Bike MS: Stamford,06/11/2017,"Stamford, CT","$12,040.00",2
,Westport Bike MS 2013,06/09/2013,"Westport, Conn","$8,910.00",3
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$14,205.00",5
,2016 Bike MS: Tour de Farms,06/25/2016,,$300.00,1
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$19,285.00",31
,2016 KSG Bike MS: Kansas City Ride,09/17/2016,,"$2,290.00",2
,MDM 2018 Bike MS: Chesapeake Challenge,06/16/2018,Talbot County Community Center,$100.00,
,Great New Jersey Country Bike Ride 2013 - Paramus,09/21/2013,Paramus,"$1,020.09",5
,NJM 2017 Bike MS: Country Challenge,09/16/2017,"Morristown, NJ","$1,145.00",4
,Hops to Hops Bike MS 2013,09/15/2013,LAM,"$2,980.00",7
,2012 Bike MS New York City,10/21/2012,,$310.00,
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$2,435.71",3
,PAE 2018 Bike MS: City to Shore Ride ,09/29/2018,New Jersey,$35.00,2
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,"$30,032.59",50
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$4,235.00",9
,PAX 2017 Bike MS: Cook Forest River Ride,09/16/2017,Cook Forest,"$2,650.00",5
,2016 Bike MS: Cook Forest River Ride,09/17/2016,,"$8,085.98",10
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,$610.00,
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$27,462.02",40
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$72,021.15",57
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$10,250.00",9
Lockheed Martin Bike Team,,,,"$1,145.00",3
,CAS 2016 Bike MS: Bay to Bay,10/22/2016,,$425.00,1
,GAA 2017 Bike MS: Atlanta Peach Ride,10/21/2017,"Atlanta, GA",$720.00,2
Lockton Bike Team,,,,"$3,250.00",
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,"$3,250.00",
Marathon Oil Bike MS Team,,,,"$270,630.11",100
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,"$1,860.00",
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$117,884.73",52
,"OKLAHOMA, TULSA - BIKE MS: THE MOTHER ROAD RIDE 2013",09/21/2013,Central Oklahoma,$150.00,2
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$149,275.38",46
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,"$1,460.00",
McCarthy Bike Team,,,,"$16,638.24",23
,CAL 2017 Bike MS: Coastal Challenge,03/25/2017,,$360.00,2
,2013 Bike MS - Colorado,06/29/2013,MS1,"$7,180.00",10
,2013 Bike MS Gateway Getaway,09/07/2013,,"$9,098.24",11
Meat Fight Bike Team,,,,"$6,965.00",6
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$6,965.00",6
Merrill Lynch Bike Team,,,,"$24,664.99",39
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$24,664.99",39
Microsoft Bike Team,,,,"$227,975.15",309
,Bike to the Bay 2013,09/21/2013,Bike to the Bay,$335.00,1
,FLS 2018 Bike MS: Breakaway to Key Largo,03/03/2018,"Miami, FL",$200.00,
,FLS 2017 Bike MS: Breakaway to Key Largo,03/04/2017,,"$13,488.00",25
,FLS Bike MS 2013,04/01/2013,TBD,"$22,080.10",27
,2016 Bike MS: Country Challenge,09/17/2016,,$0.00,3
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$4,135.00",5
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$2,872.00",7
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$1,960.00",2
,WAS 2018 Bike MS: Deception Pass Classic,09/08/2018,"Mount Vernon, WA",$266.80,23
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$95,753.11",119
,2013 Bike MS - Washington,09/07/2013,Mount Vernon,"$86,885.14",97
Monsanto Bike Team,,,,"$5,130.00",7
,Waves to Wine 2013,09/21/2013,San Francisco,"$4,880.00",6
,2013 Cruise the Cornfields,06/22/2013,Iowa,$250.00,1
Morgan Stanley Bike Team,,,,"$109,365.75",165
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$19,898.00",31
,2016 Bike MS: Tour de Farms,06/25/2016,,"$13,357.00",26
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$65,201.25",98
,2012 Bike MS New York City,10/21/2012,,"$1,220.00",
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$3,867.00",5
,TXH 2017 Bike MS: Dallas,05/06/2017,,"$1,495.00",2
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,$892.50,
,TXH 2016 BIKE MS: BP MS 150,04/16/2016,Houston to Austin,"$1,685.00",2
,2016 Bike MS: Harmon's Best Dam Bike Ride,06/25/2016,,"$1,750.00",1
N/A,,,,"$400,615.22",644
,ALC 2017 Bike MS: Tour De Beach,09/16/2017,Hampton Inns and Suite,$400.00,2
,ALC 2017 Bike MS: Tour De Beach,09/16/2017,Hampton Inns and Suite,$0.00,2
,2013 Bike MS - Tour de Beach,09/21/2013,,"$1,085.00",4
,ALC 2016 Bike MS: Tour de Beach,09/17/2016,"Orange Beach, AL",$0.00,1
,ALC 2016 Bike MS: Tour de Beach,09/17/2016,"Orange Beach, AL","$1,000.00",3
,FY2013 Bike MS,05/18/2013,Sedona Verde Valley,"$4,611.00",11
,CAL 2017 Bike MS: Coastal Challenge,03/25/2017,,$100.00,1
,CAL 2017 Bike MS: Coastal Challenge,03/25/2017,,"$1,361.00",2
,CAL 2017 Bike MS: Las Vegas,10/28/2017,"Las Vegas, NV",$970.00,3
,CAN 2018 Bike MS: Waves to Wine,09/22/2018,SOMO Village,$0.00,1
,Waves to Wine 2013,09/21/2013,San Francisco,$0.00,1
,CAS 2017 Bike MS: Bay to Bay,10/21/2017,,$0.00,1
,CAS 2017 Bike MS: Bay to Bay,10/21/2017,,"$2,750.00",4
,CAS 2016 Bike MS: Bay to Bay,10/22/2016,,"$1,515.00",2
,CAS 2016 Bike MS: Bay to Bay,10/22/2016,,$380.00,1
,COC 2017 Bike MS: Colorado,06/24/2017,,"$33,755.18",20
,2016 Bike MS Colorado,06/25/2016,MS1,"$2,230.00",2
,COC 2017 Bike MS: Colorado,06/24/2017,,"$6,091.00",5
,2016 Bike MS Colorado,06/25/2016,MS1,"$4,950.00",3
,Norwalk Bike 2016,06/12/2016,"The Longshore Pavilion, Norwalk, Conn.",$715.00,5
,2013 BIKE MS: RIDE THE RIVERSIDE,06/08/2013,National Harbor,$0.00,1
,Bike to the Bay 2013,09/21/2013,Bike to the Bay,$135.00,1
,FLN 2017 Bike MS: PGA TOUR Cycle to the Shore,10/14/2017,TPC Sawgrass,"$1,225.00",2
,GAA 2017 Bike MS: Atlanta Peach Ride,10/21/2017,"Atlanta, GA",$500.00,1
,2016 BIKE MS: ATLANTA RIDE **START/END DATES CHANGED FOR METRIC THAT MATTER REPORTING**,09/29/2016,Atlanta,$795.00,2
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL",$0.00,1
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$5,055.00",10
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$4,745.00",8
,ILD 2017 Bike MS: Tour de Farms,06/10/2017,"DeKalb, IL","$3,714.63",8
,2016 Bike MS: Cruisin' the Crossroads,09/10/2016,"Anderson, IN",$745.00,4
,KSG 2017 Bike MS: Kansas City,09/16/2017,,$0.00,1
,2016 KSG Bike MS: Kansas City Ride,09/17/2016,,"$1,115.00",3
,KSG Bike MS 2013 Kansas City Ride,09/14/2013,Kansas City,$441.85,
,KSG 2017 Bike MS: Ozarks Ride,09/09/2017,Springfield,"$2,875.00",3
,2016 KSG Bike MS: Ozarks Ride,09/10/2016,,"$1,110.00",2
,KSG Bike MS 2013 Kansas City Ride,09/14/2013,Kansas City,"$1,620.00",5
,KSG 2017 Bike MS: Kansas City,09/16/2017,,"$3,480.00",3
,2016 KSG Bike MS: Kansas City Ride,09/17/2016,,"$3,660.00",3
,KYW 2017 Bike MS: Louisville,06/24/2017,,"$6,266.00",10
,KYW 2017 Bike MS: Louisville,06/24/2017,,"$3,795.00",7
,MAM 2017 Bike MS: Seacoast Escape,08/26/2017,"Stratham, NH",$0.00,1
,MAM 2017 Bike MS: Cape Cod Getaway,06/24/2017,"Quincy , MA","$1,135.00",1
,MAM 2017 Bike MS: Cape Cod Getaway,06/24/2017,"Quincy , MA","$14,131.00",6
,MAM 2017 Bike MS: Great Maine Getaway,08/12/2017,"Biddeford, ME",$505.00,2
,MAM 2017 Bike MS: Ride the Rhode,06/10/2017,"Kingston, RI",$0.00,2
,MAM 2018 Bike MS: Cape Cod Getaway,06/30/2018,"Quincy, MA",$50.00,3
,MAM 2017 Bike MS: Great Maine Getaway,08/12/2017,"Biddeford, ME","$2,360.00",1
,2016 Bike MS Great Maine Getaway,08/13/2016,"Biddeford, Maine","$1,200.00",1
,MAM 2018 Bike MS: Cape Cod Getaway,06/30/2018,"Quincy, MA",$500.00,1
,2016 Bike MS Cape Cod Getaway,06/25/2016,Boston,"$5,385.01",3
,MAM 2017 Bike MS: Great Maine Getaway,08/12/2017,"Biddeford, ME",$0.00,1
,MAM 2017 Bike MS: Ride the Rhode,06/10/2017,"Kingston, RI",$635.00,2
,2016 Bike MS Cape Cod Getaway,06/25/2016,Boston,"$2,445.00",5
,MAM 2017 Bike MS: Ride the Vineyard,05/06/2017,,"$5,121.00",10
,2016 Bike MS Minuteman Ride,07/16/2016,Concord Ma,"$1,000.00",2
,MAM 2018 Bike MS: Ride the Vineyard ,05/05/2018,"Martha's Vineyard, MA",$200.00,
,MAM 2017 Bike MS: Ride the Vineyard,05/06/2017,,"$7,740.00",14
,2016 Ride The Vineyard,04/30/2016,Martha's Vineyard,"$3,630.00",6
,MAM 2017 Bike MS: Ride the Vineyard,05/06/2017,,$850.00,2
,MDM 2017 Bike MS: Chesapeake Challenge,06/17/2017,"Easton, MD","$1,202.00",7
,Bike MS: Chesapeake Challenge 2013,06/01/2013,Talbot County Community Center,"$3,170.00",7
,2013 West Michigan Bike MS,06/08/2013,West Michigan Bike MS,"$1,800.00",4
,2013 Mid Michigan Bike MS,07/13/2013,Mid Michigan Bike MS,"$1,710.00",7
,2016 Great lakes West Michigan Breakaway,06/11/2016,West Michigan Breakaway,$750.00,3
,2013 Bavarian Bike MS,09/28/2013,Bavarian Bike MS,$250.00,1
,2013 West Michigan Bike MS,06/08/2013,West Michigan Bike MS,$160.00,7
,MNM 2017 Bike MS: Sioux Falls Ride,08/05/2017,Sioux Falls,"$1,560.00",4
,MNM 2017 Bike MS: Twin Cities Ride,05/07/2017,"St. Paul, Minnesota",$0.00,2
,MNM 2017 Bike MS: Twin Cities Ride,05/07/2017,"St. Paul, Minnesota",$0.00,1
,MNM 2017 Bike MS: Twin Cities Ride,05/07/2017,"St. Paul, Minnesota",$35.00,2
,MNM 2017 Bike MS: TRAM,07/19/2017,,"$3,097.50",3
,2016 Bike MS: MS 150,06/10/2016,Minnesota,"$1,055.00",2
,2016 Bike MS: MS 150,06/10/2016,Minnesota,"$1,155.00",2
,2013 MS 150,06/07/2013,Minnesota,"$1,430.00",3
,2013 MS 150,06/07/2013,Minnesota,"$9,023.00",5
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,$0.00,1
,2016 Bike MS: Sioux Falls,08/06/2016,"Sioux Falls, SD",$0.00,1
,2016 Bike MS: Twin Cities Ride,05/07/2016,Twin Cities,$600.00,5
,2013 Bike MS Gateway Getaway,09/07/2013,,"$2,559.00",3
,2013 Bike MS Gateway Getaway,09/07/2013,,"$1,152.00",2
,NCT 2017 Bike MS: Historic New Bern Ride,09/09/2017,,$110.00,2
,NCT 2017 Bike MS: Historic New Bern Ride,09/09/2017,,"$3,305.00",8
,NCT 2017 Bike MS: Historic New Bern Ride,09/09/2017,,$60.00,3
,NCT 2017 Bike MS: Breakaway to the Beach,10/07/2017,"Sunset Beach, NC","$2,675.00",2
,NCT 2017 Bike MS: Tour to Tanglewood,09/16/2017,,$0.00,1
,2016 Bike MS: Tour to Tanglewood,09/17/2016,"Clemmons, NC",$0.00,2
,2016 Bike MS: Coast the Coast,05/21/2016,,"$1,065.00",2
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,$855.00,2
,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",05/18/2013,MON,$500.00,5
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,$0.00,2
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,"$3,485.00",4
,NJM 2017 Bike MS: Country Challenge,09/16/2017,"Morristown, NJ",$0.00,1
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,$0.00,1
,NJM 2017 Bike MS: Coast the Coast,05/20/2017,West Long Branch,$25.00,2
,NYH 2017 Bike MS: Traffic Free Ride,06/04/2017,Bethpage State Park,"$2,630.00",3
,2016 Bike MS: East End Ride,09/10/2016,"Southampton, NY",$460.00,2
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY",$510.00,5
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY",$935.00,3
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$6,815.00",9
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY",$250.00,1
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$1,735.00",5
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$4,750.00",2
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,$641.00,1
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,"$1,120.00",3
,OHO BIKE TO THE BAY 2013,06/29/2013,Lucas County Fairgrounds,"$2,211.00",6
,OHA 2017 Bike MS: Buckeye Breakaway,08/05/2017,Brunswick,"$1,060.00",3
,OHA 2017 Bike MS: Bike to the Bay,06/24/2017,Perrysburg,"$2,610.00",12
,OHA 2017 Bike MS: Bike to the Bay,06/24/2017,Perrysburg,"$2,915.00",9
,OHA BIKE MS PEDAL TO THE POINT 2013,08/03/2013,Brunswick High School,"$2,215.00",3
,OHA 2017 Bike MS: Bike to the Bay,06/24/2017,Perrysburg,$600.00,2
,OHA 2017 Bike MS: Buckeye Breakaway,08/05/2017,Brunswick,"$5,170.00",4
,OHA 2017 Bike MS: Bike to the Bay,06/24/2017,Perrysburg,"$1,025.00",3
,OHA BIKE MS PEDAL TO THE POINT 2013,08/03/2013,Brunswick High School,"$1,400.00",4
,OHA Bike MS 2016: Central Ohio Challenge,07/09/2016,Dublin,$605.00,3
,OHG 2017 Bike MS: Oxford,08/05/2017,,"$25,856.93",36
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$4,266.66",8
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$930.00,2
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$350.00,1
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$0.00,1
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$1,525.00",2
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$920.00,3
,Bike MS: City to Shore Ride 2016,09/24/2016,New Jersey,$900.00,3
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$0.00,1
,Bike MS: City to Shore Ride 2016,09/24/2016,New Jersey,"$1,425.00",1
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$1,615.00",4
,PAE 2017 Bike MS: City to Shore Ride,09/23/2017,New Jersey,$565.00,1
,2016 Bike MS: Mason-Dixon Challenge,08/06/2016,Central PA,$300.00,5
,2016 Bike MS: Keystone Country Ride,07/23/2016,Hollidaysburg/State College,"$1,325.00",2
,PAX 2017 Bike MS: Keystone Country Ride,07/22/2017,Hollidaysburg,$0.00,1
,2016 Bike MS: Keystone Country Ride,07/23/2016,Hollidaysburg/State College,$0.00,2
,2016 Bike MS: Mason-Dixon Challenge,08/06/2016,Central PA,"$6,710.00",6
,PAX 2017 Bike MS: Escape to the Lake,06/10/2017,,"$1,721.00",3
,PAX 2017 Bike MS: Escape to the Lake,06/10/2017,,$940.00,3
,TNS 2017 Bike MS: Jack and Back,10/07/2017,Tullahoma,$50.00,1
,2013 FedEx Rock-N-Roll Bike MS,09/07/2013,Landers Civic Center,"$22,966.00",25
,TNS 2017 Bike MS: Rockin' Ride to Oxford,09/23/2017,,$0.00,6
,TXH 2017 Bike MS: Pojoaque,08/26/2017,,"$1,335.00",2
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$1,000.00",1
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,$370.00,1
,"Texas, Dallas - Bike MS: Sam's Club Round Up Ride 2013",05/04/2013,Dallas-Fort Worth,"$2,460.00",
,TXH 2017 Bike MS: Hammond,10/07/2017,"Hammond, LA","$2,325.00",12
,TXH 2017 Bike MS: San Antonio,10/07/2017,San Antonio,"$5,235.00",6
,TXH 2017 Bike MS: Hammond,10/07/2017,"Hammond, LA","$23,648.54",23
,TXH 2016 Bike MS: Hammond,10/08/2016,,"$9,845.00",17
,TXH 2017 Bike MS: Norman,09/30/2017,"Norman, OK","$2,105.00",1
,TXH 2016 Bike MS: Norman,09/24/2016,,"$3,535.00",7
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,$300.00,1
,TXH 2016 Bike MS: San Antonio,10/01/2016,San Antonio,$70.00,2
,"New Mexico, Pojoaque - Bike MS: New Mexico Pedal los Pueblos 2013",08/24/2013,Pojoaque,$480.00,3
,UTU 2017 Bike MS: Harmons Best Dam Bike Ride,06/24/2017,Logan,$265.00,2
,UTU 2018 Bike MS: Logan,06/23/2018,"Logan, UT",$100.00,
,2013 BIKE MS COUNTRY ROADS RIDE,09/14/2013,The Greenbrier,$100.00,1
,VAR 2018 Bike MS: Colonial Crossroads,06/02/2018,"Williamsburg, VA",$100.00,
,VAR 2017 Bike MS: Colonial Crossroads,06/03/2017,"Williamsburg, VA",$50.00,1
,VAR 2017 Bike MS: Colonial Crossroads,06/03/2017,"Williamsburg, VA","$22,863.50",5
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$4,860.00",7
,WAS 2017 Bike MS: Deception Pass Classic,09/09/2017,"Mount Vernon, WA","$1,320.00",2
,WIG 2018 Bike MS: TOYOTA Best Dam Bike Tour,08/04/2018,Waukesha County Tech. College,$125.00,5
,WIG 2017 Bike MS: TOYOTA Best Dam Bike Tour,08/05/2017,"Pewaukee, WI","$10,291.00",15
,WIG 2018 Bike MS: TOYOTA Best Dam Bike Tour,08/04/2018,Waukesha County Tech. College,$20.00,4
,WIG 2017 Bike MS: TOYOTA Best Dam Bike Tour,08/05/2017,"Pewaukee, WI","$1,180.00",4
,WIG 2017 Bike MS: TOYOTA Best Dam Bike Tour,08/05/2017,"Pewaukee, WI","$1,743.42",1
Northrop Grumman Bike Team,,,,"$12,197.50",17
,FLN 2017 Bike MS: PGA TOUR Cycle to the Shore,10/14/2017,TPC Sawgrass,"$3,392.50",2
,FLN 2013 Bike MS: PGA TOUR Cycle to the Shore,09/28/2013,St. John's County Airport,"$6,180.00",14
,2016 BIKE MS: PGA TOUR CYCLE TO THE SHORE  *START/END DATE FIELDS CHANGED FOR REPORTING*,09/29/2016,TPC Sawgrass,"$2,625.00",1
Novartis National Bike Team,,,,"$18,007.00",74
,2013 Bike MS - Colorado,06/29/2013,MS1,$0.00,4
